File,type
common_voice_ru_18849088.mp3,train
common_voice_ru_18849089.mp3,train
common_voice_ru_18849091.mp3,train
common_voice_ru_18849105.mp3,train
common_voice_ru_18849106.mp3,train
common_voice_ru_18849107.mp3,train
common_voice_ru_18849128.mp3,train
common_voice_ru_18849129.mp3,train
common_voice_ru_18849131.mp3,train
common_voice_ru_18849132.mp3,train
common_voice_ru_18849134.mp3,train
common_voice_ru_18849159.mp3,train
common_voice_ru_18849196.mp3,train
common_voice_ru_18849219.mp3,train
common_voice_ru_18849264.mp3,train
common_voice_ru_18849266.mp3,train
common_voice_ru_18849268.mp3,train
common_voice_ru_18849274.mp3,train
common_voice_ru_18849275.mp3,train
common_voice_ru_18849278.mp3,train
common_voice_ru_18849281.mp3,train
common_voice_ru_18849294.mp3,train
common_voice_ru_18849312.mp3,train
common_voice_ru_18849324.mp3,train
common_voice_ru_18849361.mp3,train
common_voice_ru_18849420.mp3,train
common_voice_ru_18849422.mp3,train
common_voice_ru_18849455.mp3,train
common_voice_ru_18849458.mp3,train
common_voice_ru_18849465.mp3,train
common_voice_ru_18849467.mp3,train
common_voice_ru_18849479.mp3,train
common_voice_ru_18849508.mp3,train
common_voice_ru_18849516.mp3,train
common_voice_ru_18849539.mp3,train
common_voice_ru_18849568.mp3,train
common_voice_ru_18849574.mp3,train
common_voice_ru_18849591.mp3,train
common_voice_ru_18849603.mp3,train
common_voice_ru_18849614.mp3,train
common_voice_ru_18849618.mp3,train
common_voice_ru_18849619.mp3,train
common_voice_ru_18849620.mp3,train
common_voice_ru_18849635.mp3,train
common_voice_ru_18849638.mp3,train
common_voice_ru_18849871.mp3,train
common_voice_ru_18849873.mp3,train
common_voice_ru_18850375.mp3,train
common_voice_ru_18850376.mp3,train
common_voice_ru_18850377.mp3,train
common_voice_ru_18850378.mp3,train
common_voice_ru_18850379.mp3,train
common_voice_ru_18851607.mp3,train
common_voice_ru_18851608.mp3,train
common_voice_ru_18851610.mp3,train
common_voice_ru_18851611.mp3,train
common_voice_ru_18852110.mp3,train
common_voice_ru_18852111.mp3,train
common_voice_ru_18852112.mp3,train
common_voice_ru_18853495.mp3,train
common_voice_ru_18853498.mp3,train
common_voice_ru_18853499.mp3,train
common_voice_ru_18853502.mp3,train
common_voice_ru_18853504.mp3,train
common_voice_ru_18853506.mp3,train
common_voice_ru_18853508.mp3,train
common_voice_ru_18853518.mp3,train
common_voice_ru_18853530.mp3,train
common_voice_ru_18853534.mp3,train
common_voice_ru_18853761.mp3,train
common_voice_ru_18853762.mp3,train
common_voice_ru_18853770.mp3,train
common_voice_ru_18853772.mp3,train
common_voice_ru_18853775.mp3,train
common_voice_ru_18853792.mp3,train
common_voice_ru_18853799.mp3,train
common_voice_ru_18853804.mp3,train
common_voice_ru_18853805.mp3,train
common_voice_ru_18853811.mp3,train
common_voice_ru_18853818.mp3,train
common_voice_ru_18853819.mp3,train
common_voice_ru_18853823.mp3,train
common_voice_ru_18853825.mp3,train
common_voice_ru_18853832.mp3,train
common_voice_ru_18853833.mp3,train
common_voice_ru_18853836.mp3,train
common_voice_ru_18853837.mp3,train
common_voice_ru_18853844.mp3,train
common_voice_ru_18853845.mp3,train
common_voice_ru_18853848.mp3,train
common_voice_ru_18853850.mp3,train
common_voice_ru_18853853.mp3,train
common_voice_ru_18853854.mp3,train
common_voice_ru_18853857.mp3,train
common_voice_ru_18853859.mp3,train
common_voice_ru_18853861.mp3,train
common_voice_ru_18853874.mp3,train
common_voice_ru_18853875.mp3,train
common_voice_ru_18853882.mp3,train
common_voice_ru_18853883.mp3,train
common_voice_ru_18853884.mp3,train
common_voice_ru_18853887.mp3,train
common_voice_ru_18853891.mp3,train
common_voice_ru_18853918.mp3,train
common_voice_ru_18853920.mp3,train
common_voice_ru_18853931.mp3,train
common_voice_ru_18853932.mp3,train
common_voice_ru_18853933.mp3,train
common_voice_ru_18853938.mp3,train
common_voice_ru_18853941.mp3,train
common_voice_ru_18853942.mp3,train
common_voice_ru_18853947.mp3,train
common_voice_ru_18853951.mp3,train
common_voice_ru_18853957.mp3,train
common_voice_ru_18853966.mp3,train
common_voice_ru_18853967.mp3,train
common_voice_ru_18853973.mp3,train
common_voice_ru_18853981.mp3,train
common_voice_ru_18853982.mp3,train
common_voice_ru_18853986.mp3,train
common_voice_ru_18853989.mp3,train
common_voice_ru_18853990.mp3,train
common_voice_ru_18853992.mp3,train
common_voice_ru_18853995.mp3,train
common_voice_ru_18853997.mp3,train
common_voice_ru_18853998.mp3,train
common_voice_ru_18854006.mp3,train
common_voice_ru_18854007.mp3,train
common_voice_ru_18854008.mp3,train
common_voice_ru_18854013.mp3,train
common_voice_ru_18854034.mp3,train
common_voice_ru_18854046.mp3,train
common_voice_ru_18854056.mp3,train
common_voice_ru_18854058.mp3,train
common_voice_ru_18854060.mp3,train
common_voice_ru_18854061.mp3,train
common_voice_ru_18854070.mp3,train
common_voice_ru_18854072.mp3,train
common_voice_ru_18854073.mp3,train
common_voice_ru_18854082.mp3,train
common_voice_ru_18854083.mp3,train
common_voice_ru_18854093.mp3,train
common_voice_ru_18854151.mp3,train
common_voice_ru_18854162.mp3,train
common_voice_ru_18854164.mp3,train
common_voice_ru_18854921.mp3,train
common_voice_ru_18854929.mp3,train
common_voice_ru_18856146.mp3,train
common_voice_ru_18856147.mp3,train
common_voice_ru_18856149.mp3,train
common_voice_ru_18856151.mp3,train
common_voice_ru_18856152.mp3,train
common_voice_ru_18856153.mp3,train
common_voice_ru_18856155.mp3,train
common_voice_ru_18856161.mp3,train
common_voice_ru_18856162.mp3,train
common_voice_ru_18856164.mp3,train
common_voice_ru_18856165.mp3,train
common_voice_ru_18856186.mp3,train
common_voice_ru_18856187.mp3,train
common_voice_ru_18856188.mp3,train
common_voice_ru_18856189.mp3,train
common_voice_ru_18856190.mp3,train
common_voice_ru_18858129.mp3,train
common_voice_ru_18858130.mp3,train
common_voice_ru_18858230.mp3,train
common_voice_ru_18858241.mp3,train
common_voice_ru_18858242.mp3,train
common_voice_ru_18858243.mp3,train
common_voice_ru_18858248.mp3,train
common_voice_ru_18858250.mp3,train
common_voice_ru_18858252.mp3,train
